year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,770562.0,549696.562931
2018,770562.0,549696.562931
2019,770562.0,549696.562931
2020,770562.0,549696.562931
2021,770562.0,549696.562931
2022,770562.0,549696.562931
2023,770562.0,549696.562931
2024,770562.0,549696.562931
2025,770562.0,549696.562931
2026,770562.0,549696.562931
2027,770562.0,549696.562931
2028,770562.0,549696.562931
2029,770562.0,549696.562931
2030,770562.0,549696.562931
2031,770562.0,549696.562931
2032,,
2033,,
2034,,
2035,,
2036,,
