year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,207045.0,147696.933647
2018,207045.0,147696.933647
2019,207045.0,147696.933647
2020,207045.0,147696.933647
2021,207045.0,147696.933647
2022,207045.0,147696.933647
2023,207045.0,147696.933647
2024,207045.0,147696.933647
2025,207045.0,147696.933647
2026,207045.0,147696.933647
2027,207045.0,147696.933647
2028,207045.0,147696.933647
2029,207045.0,147696.933647
2030,207045.0,147696.933647
2031,207045.0,147696.933647
2032,,
2033,,
2034,,
2035,,
2036,,
