year,Base case cost,Modeled biomass for heat (pellet)
2017,596819.721165,695981.26669
2018,652721.871165,734106.791398
2019,729328.521165,787043.087143
2020,768667.071165,813434.049747
2021,793512.471165,829525.40172
2022,814216.971165,842701.07158
2023,826639.671165,850006.224022
2024,839062.371165,857347.860769
2025,851485.071165,864725.126715
2026,868048.671165,875091.125469
2027,882541.821165,884014.13355
2028,894964.521165,891493.354578
2029,909457.671165,900481.949502
2030,919809.921165,906548.250852
2031,936373.521165,917076.363607
2032,,
2033,,
2034,,
2035,,
2036,,
