year,Base case cost,Modeled biomass for heat (cordwood)
2017,596819.721165,785907.713578
2018,652721.871165,823575.273935
2019,729328.521165,876638.008742
2020,768667.071165,902228.083998
2021,793512.471165,917183.675764
2022,814216.971165,929157.473436
2023,826639.671165,935085.756607
2024,839062.371165,941090.381569
2025,851485.071165,947169.559052
2026,868048.671165,956383.38597
2027,882541.821165,964137.389612
2028,894964.521165,970429.903587
2029,909457.671165,978321.144792
2030,919809.921165,983216.757715
2031,936373.521165,992769.800998
2032,,
2033,,
2034,,
2035,,
2036,,
