year,Base case cost,Modeled wind power
2019,5540959.87826,5927019.32663
2020,5874197.80379,6201425.67818
2021,6121562.11263,6405646.83278
2022,6304622.1512,6557330.03189
2023,6423201.49793,6656298.85396
2024,6541955.44745,6755442.27881
2025,6660874.90584,6854751.21255
2026,6823602.36771,6990023.9399
2027,6942895.28206,7089706.32959
2028,7062325.21109,7189525.73396
2029,7206113.28094,7309781.17422
2030,7306217.0243,7394196.49786
2031,7471331.9367,7531856.67573
2032,7613100.55564,7650092.66508
2033,7776122.05344,7785659.42836
2034,7939735.86692,7921818.50732
2035,8060133.38637,8022605.5021
2036,8225821.8204,8160839.20161
2037,8348691.66673,8264098.52328
2038,8515901.20624,8403853.32827
