year,Base case diesel consumed,Nome (penny river),Nome (osborn creek),Nome (buster creek),Nome (buster) -- buster creek,"Nome (sulphur creek) -- sulphur creek, aka alfield creek",Nome (david creek),Nome (nome river)
2021,2155479.61712,2116868.59463,2070320.60258,2146617.71629,2060469.42272,2131019.74447,2108446.06929,2068938.63612
2022,2159117.17507,2120506.15258,2073958.16053,2150255.27424,2064106.98067,2134657.30242,2112083.62724,2072576.19406
2023,2162694.10705,2124083.08456,2077535.09251,2153832.20622,2067683.91264,2138234.2344,2115660.55921,2076153.12604
2024,2166210.41306,2127599.39057,2081051.39852,2157348.51223,2071200.21866,2141750.54041,2119176.86523,2079669.43206
2025,2169666.09311,2131055.07062,2084507.07857,2160804.19228,2074655.8987,2145206.22046,2122632.54527,2083125.1121
2026,2173121.77316,2134510.75066,2087962.75861,2164259.87233,2078111.57875,2148661.9005,2126088.22532,2086580.79215
2027,2176456.20127,2137845.17878,2091297.18673,2167594.30044,2081446.00687,2151996.32862,2129422.65344,2089915.22027
2028,2179730.00342,2141118.98093,2094570.98888,2170868.10259,2084719.80902,2155270.13077,2132696.45559,2093189.02242
2029,2183670.6912,2145059.6687,2098511.67665,2174808.79036,2088660.49679,2159210.81854,2136637.14336,2097129.71019
2030,2187490.12704,2148879.10454,2102331.11249,2178628.22621,2092479.93263,2163030.25438,2140456.5792,2100949.14603
2031,2191006.43305,2152395.41056,2105847.41851,2182144.53222,2095996.23865,2166546.5604,2143972.88522,2104465.45204
2032,2193977.10537,2155366.08288,2108818.09083,2185115.20454,2098966.91097,2169517.23272,2146943.55754,2107436.12437
2033,2196644.64786,2158033.62537,2111485.63332,2187782.74703,2101634.45346,2172184.77521,2149611.10003,2110103.66686
2034,2199372.81632,2160761.79383,2114213.80178,2190510.91549,2104362.62192,2174912.94367,2152339.26849,2112831.83532
2035,2202222.23671,2163611.21422,2117063.22217,2193360.33588,2107212.04231,2177762.36406,2155188.68888,2115681.25571
2036,2205314.16097,2166703.13847,2120155.14642,2196452.26013,2110303.96656,2180854.28831,2158280.61313,2118773.17996
2037,2208648.58908,2170037.56659,2123489.57454,2199786.68825,2113638.39468,2184188.71643,2161615.04125,2122107.60807
2038,2211922.39123,2173311.36874,2126763.37669,2203060.4904,2116912.19683,2187462.51858,2164888.8434,2125381.41022
2039,2214832.43759,2176221.41509,2129673.42304,2205970.53676,2119822.24318,2190372.56493,2167798.88975,2128291.45658
2040,2217439.35411,2178828.33162,2132280.33957,2208577.45328,2122429.15971,2192979.48146,2170405.80628,2130898.37311
2041,2220046.27064,2181435.24815,2134887.2561,2211184.36981,2125036.07624,2195586.39799,2173012.72281,2133505.28963
2042,2222653.18717,2184042.16467,2137494.17263,2213791.28634,2127642.99276,2198193.31451,2175619.63933,2136112.20616
2043,2225502.60756,2186891.58506,2140343.59302,2216640.70673,2130492.41315,2201042.7349,2178469.05972,2138961.62655
2044,2228412.65391,2189801.63142,2143253.63937,2219550.75308,2133402.45951,2203952.78126,2181379.10608,2141871.67291
2045,2231140.82237,2192529.79988,2145981.80783,2222278.92154,2136130.62797,2206680.94972,2184107.27454,2144599.84137
2046,2233687.11293,2195076.09044,2148528.09839,2224825.2121,2138676.91853,2209227.24028,2186653.5651,2147146.13193
2047,2236112.15156,2197501.12907,2150953.13702,2227250.25073,2141101.95716,2211652.27891,2189078.60373,2149571.17056
2048,2238537.19019,2199926.1677,2153378.17565,2229675.28936,2143526.99579,2214077.31754,2191503.64236,2151996.20919
2049,2240962.22882,2202351.20633,2155803.21428,2232100.32799,2145952.03442,2216502.35617,2193928.68099,2154421.24782
2050,2243387.26745,2204776.24496,2158228.25291,2234525.36662,2148377.07305,2218927.3948,2196353.71962,2156846.28645
