year,Base case cost,Modeled wind power
2019,3597013.13408,3863708.8155
2020,3813660.43835,4064078.45526
2021,3959555.00972,4196375.29291
2022,4071473.37763,4296377.37143
2023,4139636.06944,4354300.75155
2024,4206430.52307,4411037.64025
2025,4287212.58115,4481442.66422
2026,4362799.90321,4546826.27945
2027,4432811.38415,4606803.31839
2028,4484180.37815,4648800.12453
2029,4565238.10245,4720150.12816
2030,4616741.65388,4763097.51187
2031,4703882.74623,4840345.513
2032,4794849.13159,4921569.14455
2033,4882663.16092,4999787.23399
2034,4973268.7648,5080940.27094
2035,5008528.14802,5108377.96882
2036,5108347.39973,5198524.44097
2037,5157601.63343,5240227.2469
2038,5262338.02043,5335554.77773
