year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,14254.680221,9265.54214364
2018,14247.7411225,9261.03172964
2019,14222.2906445,9244.48891892
2020,14203.5297243,9232.29432078
2021,14198.9859492,9229.34086699
2022,14202.6236381,9231.70536479
2023,14200.1629271,9230.1059026
2024,14197.5380796,9228.39975177
2025,14193.0717022,9225.49660645
2026,14176.1509775,9214.4981354
2027,14146.8079322,9195.4251559
2028,14105.9019468,9168.83626539
2029,14105.0118739,9168.25771806
2030,14097.9847023,9163.6900565
2031,14079.6414624,9151.76695058
