year,Base case diesel consumed,Modeled wind power
2019,1372905.77637,1325783.96162
2020,1371820.30157,1324698.48681
2021,1370088.23866,1322966.42391
2022,1370866.45712,1323744.64236
2023,1370740.42034,1323618.60559
2024,1370172.80882,1323050.99407
2025,1369716.4796,1322594.66485
2026,1367648.87248,1320527.05773
2027,1363941.96435,1316820.1496
2028,1358842.53883,1311720.72408
2029,1358701.8162,1311580.00145
2030,1357865.19232,1310743.37757
2031,1355585.80583,1308463.99108
2032,1354477.15582,1307355.34106
2033,1352538.27172,1305416.45697
2034,1351431.72957,1304309.91481
2035,1346378.53442,1299256.71966
2036,1344301.9473,1297180.13255
2037,1343125.42537,1296003.61062
2038,1342433.16848,1295311.35372
