year,Base case diesel consumed,Modeled non-residential ashp
2017,24566.2545735,4311.76070075
2018,24566.2545735,4311.76070075
2019,24566.2545735,4311.76070075
2020,24566.2545735,4311.76070075
2021,24566.2545735,4311.76070075
2022,24566.2545735,4311.76070075
2023,24566.2545735,4311.76070075
2024,24566.2545735,4311.76070075
2025,24566.2545735,4311.76070075
2026,24566.2545735,4311.76070075
2027,24566.2545735,4311.76070075
2028,24566.2545735,4311.76070075
2029,23353.0216328,3098.52776008
2030,23353.0216328,3098.52776008
2031,23353.0216328,3098.52776008
