year,Base case cost,Modeled biomass for heat (pellet)
2017,186202.346436,202393.382459
2018,200604.416436,212231.497985
2019,220873.996436,226271.603261
2020,231008.786436,233082.241548
2021,237409.706436,237235.655286
2022,242743.806436,240636.810341
2023,246477.676436,242904.436193
2024,249144.726436,244419.348355
2025,252878.596436,246705.488562
2026,257145.876436,249381.602102
2027,260879.746436,251685.398974
2028,263546.796436,253235.634398
2029,267814.076436,255937.310295
2030,270481.126436,257503.989769
2031,274748.406436,260221.724309
2032,,
2033,,
2034,,
2035,,
2036,,
