year,Base case cost,Modeled water and wastewater efficiency
2017,5917.32141574,8527.81062767
2018,6262.58746086,8659.63825163
2019,6766.69502235,8902.37608023
2020,7010.01762332,8969.58219492
2021,7157.91081692,8974.01083935
2022,7282.929518,8965.14591248
2023,7366.86316244,8930.45869623
2024,7428.59280806,8882.83240809
2025,7518.86277468,8856.79223464
2026,7626.33593923,8844.57814948
2027,7719.32658755,8824.47968635
2028,7785.50015906,8788.04888605
2029,7924.91981864,8803.82009987
2030,8018.32043163,8790.00819205
2031,8142.97812687,8799.23927369
