year,Base case cost,Modeled biomass for heat (cordwood)
2017,186202.346436,211358.326469
2018,200604.416436,221286.945986
2019,220873.996436,235576.569331
2020,231008.786436,242380.030362
2021,237409.706436,246435.640913
2022,242743.806436,249717.477279
2023,246477.676436,251830.27212
2024,249144.726436,253168.551103
2025,252878.596436,255311.524806
2026,257145.876436,257863.951655
2027,260879.746436,260035.706165
2028,263546.796436,261431.562951
2029,267814.076436,264025.657082
2030,270481.126436,265448.318083
2031,274748.406436,268068.588204
2032,,
2033,,
2034,,
2035,,
2036,,
