year,Base case diesel consumed,Manley hot springs (mccloud ranch creek)
2021,32046.625744,27307.4472578
2022,31886.58946,27147.4109737
2023,31646.5350338,26907.3565476
2024,31486.4987497,26747.3202635
2025,31246.4443236,26507.2658374
2026,31086.4080395,26347.2295533
2027,30926.3717554,26187.1932692
2028,30766.3354713,26027.1569851
2029,30606.2991872,25867.120701
2030,30526.2810452,25787.102559
2031,30366.2447611,25627.0662749
2032,30206.208477,25467.0299908
2033,30126.190335,25387.0118487
2034,29966.1540509,25226.9755646
2035,29806.1177668,25066.9392806
2036,29726.0996247,24986.9211385
2037,29566.0633406,24826.8848544
2038,29406.0270565,24666.8485703
2039,29326.0089145,24586.8304283
2040,29165.9726304,24426.7941442
2041,29085.9544884,24346.7760021
2042,28925.9182043,24186.7397181
2043,28845.9000622,24106.721576
2044,28685.8637781,23946.6852919
2045,28605.8456361,23866.6671499
2046,28445.809352,23706.6308658
2047,28365.79121,23626.6127237
2048,28285.7730679,23546.5945817
2049,28125.7367838,23386.5582976
2050,28045.7186418,23306.5401556
