year,Base case diesel consumed,Modeled residential energy efficiency
2017,31334.6996802,22062.9621379
2018,31334.6996802,22062.9621379
2019,31334.6996802,22062.9621379
2020,31334.6996802,22062.9621379
2021,30312.1552929,21040.4177506
2022,30312.1552929,21040.4177506
2023,30312.1552929,21040.4177506
2024,29289.6109056,20017.8733633
2025,29289.6109056,20017.8733633
2026,29289.6109056,20017.8733633
2027,28267.0665183,18995.3289761
2028,28267.0665183,18995.3289761
2029,28267.0665183,18995.3289761
2030,28267.0665183,18995.3289761
2031,27244.522131,17972.7845888
