year,Base case cost,Manley hot springs (mccloud ranch creek)
2021,93576.1471726,385900.188297
2022,96297.5001691,382287.556539
2023,97471.3279042,377435.975107
2024,98867.6060741,372942.084644
2025,99988.6218355,368305.002952
2026,102274.28245,364833.975549
2027,103603.345381,360659.869759
2028,104913.203957,356589.560171
2029,106815.984163,353147.246251
2030,107757.772089,349031.331188
2031,109925.806035,346043.604993
2032,111762.971365,342879.400927
2033,114178.261369,340360.045901
2034,116268.677717,337622.503622
2035,117436.104001,334193.723349
2036,119796.181488,331931.771795
2037,120629.53843,328412.547531
2038,122917.193096,326232.04083
2039,124635.537887,323704.547027
2040,126871.980942,321660.120904
2041,126523.902024,317546.760927
2042,125827.744189,313173.570718
2043,125479.665271,309234.640068
2044,124783.507435,305031.791057
2045,124435.428517,301259.209101
2046,123739.270681,297218.809872
2047,123391.191763,293604.870346
2048,123043.112845,290067.474343
2049,122346.95501,286256.748995
2050,121998.876092,282867.100329
