year,Base case diesel consumed,Modeled residential ashp
2017,800842.82585,357812.467724
2018,745576.008701,302545.650575
2019,757525.590787,314495.232661
2020,766487.777352,323457.419226
2021,775449.963916,332419.60579
2022,805323.919132,362293.561006
2023,847147.456434,404117.098308
2024,921832.344473,478801.986347
2025,993529.83699,550499.478864
2026,1063733.63175,620703.27362
2027,1104063.47129,661033.113161
2028,1135431.12426,692400.766138
2029,1495412.28461,1052381.92649
2030,1846431.25839,1403400.90027
2031,2133221.22846,1690190.87034
