year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,897272.0,640074.410051
2018,897272.0,640074.410051
2019,897272.0,640074.410051
2020,897272.0,640074.410051
2021,897272.0,640074.410051
2022,897272.0,640074.410051
2023,897272.0,640074.410051
2024,897272.0,640074.410051
2025,897272.0,640074.410051
2026,897272.0,640074.410051
2027,897272.0,640074.410051
2028,897272.0,640074.410051
2029,897272.0,640074.410051
2030,897272.0,640074.410051
2031,897272.0,640074.410051
2032,,
2033,,
2034,,
2035,,
2036,,
