year,Base case cost,Modeled biomass for heat (pellet)
2017,2396903.52646,2847031.42954
2018,2684030.56646,3044967.08055
2019,3078830.24646,3319873.10201
2020,3267257.36646,3447719.66664
2021,3392875.44646,3530914.98496
2022,3500548.08646,3601459.16894
2023,3563357.12646,3640146.4624
2024,3626166.16646,3678977.1445
2025,3688975.20646,3717947.85456
2026,3769729.68646,3769856.79885
2027,3841511.44646,3815498.54016
2028,3904320.48646,3854869.94858
2029,3985074.96646,3907170.19986
2030,4029938.56646,3933991.8446
2031,4119665.76646,3992938.6647
2032,,
2033,,
2034,,
2035,,
2036,,
