year,Base case cost,Modeled biomass for heat (cordwood)
2017,2396903.52646,2989585.20338
2018,2684030.56646,3187955.24573
2019,3078830.24646,3466266.63137
2020,3267257.36646,3592302.10191
2021,3392875.44646,3672207.14304
2022,3500548.08646,3739147.25457
2023,3563357.12646,3773211.62684
2024,3626166.16646,3807566.0979
2025,3688975.20646,3842203.86855
2026,3769729.68646,3890387.41909
2027,3841511.44646,3932206.58516
2028,3904320.48646,3967655.03447
2029,3985074.96646,4016630.26338
2030,4029938.56646,4039318.87258
2031,4119665.76646,4095426.0054
2032,,
2033,,
2034,,
2035,,
2036,,
