year,population
2003,3141.0
2004,3187.0
2005,3161.0
2006,3109.0
2007,3063.0
2008,3017.0
2009,3008.0
2010,2948.0
2011,2977.0
2012,3059.0
2013,2874.0
2014,2744.0
2015,2611.0
2016,2444.0
2017,2278.0
2018,2191.0
2019,2209.0
2020,2223.0
2021,2236.0
2022,2284.0
2023,2350.0
2024,2467.0
2025,2581.0
2026,2692.0
2027,2755.0
2028,2804.0
2029,3372.0
2030,3925.0
2031,4378.0
2032,4295.0
2033,4063.0
2034,3878.0
2035,3859.0
2036,4074.0
2037,4508.0
2038,4911.0
2039,5062.0
2040,5007.0
