year,Base case cost,Modeled water and wastewater efficiency
2017,42390.1031793,147452.544507
2018,44990.9716121,146349.488206
2019,50085.7228859,146974.802604
2020,52597.2080519,145972.210545
2021,54336.258396,144526.23464
2022,56354.9707924,143334.325204
2023,58087.3430676,142019.605345
2024,60587.9512549,141280.626728
2025,63087.4314713,140596.433213
2026,65847.4707841,140137.194052
2027,67802.563162,139190.750475
2028,69442.9035117,138086.808854
2029,79469.1333005,142675.637913
2030,88912.8823445,146929.175205
2031,97793.2174024,150833.431158
