year,Base case diesel consumed,Modeled solar power (pv)
2016,1263354.582,1244497.28424
2017,1260605.68119,1241899.24182
2018,1257655.64131,1239098.85344
2019,1257320.4095,1238912.07594
2020,1256046.52864,1237785.46175
2021,1255040.83322,1236925.85487
2022,1253968.09145,1235998.03292
2023,1252761.25695,1234934.95889
2024,1250951.0052,1233267.31752
2025,1249341.89253,1231799.67436
2026,1247397.54806,1229995.66763
2027,1245117.97178,1227855.3064
2028,1242570.21006,1225445.646
2029,1240961.09739,1223973.52984
2030,1238949.70656,1222098.03955
2031,1240022.44834,1223305.59467
2032,1237005.36209,1220422.24325
2033,1234524.64673,1218074.19284
2034,1232312.11681,1215993.26655
2035,1230501.86506,1214313.5656
