year,Base case cost,Modeled diesel efficiency
2019,3105581.41147,3719889.9919
2020,3278281.43975,3855875.15441
2021,3413711.06637,3958470.66943
2022,3498570.97513,4015574.70573
2023,3570369.5823,4061274.55033
2024,3615248.40502,4082960.57331
2025,3673065.16404,4116856.31535
2026,3742192.64418,4161471.99087
2027,3810060.99365,4205370.20888
2028,3851967.65119,4226084.08278
2029,3921437.06777,4272262.42657
2030,3964639.061,4294959.16192
2031,4042473.18159,4349528.19157
2032,4119227.85576,4403495.34224
2033,4185038.55241,4447883.96512
2034,4263799.92418,4504407.78733
2035,4306756.52773,4528735.19731
2036,4387865.19259,4588091.39426
2037,4443494.89931,4624621.90875
2038,4521749.40058,4682049.52641
