year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,244571.82,18618300.0,18618300.0
2004,,244571.82,19360500.0,19360500.0
2005,,244571.82,19318400.0,19318400.0
2006,,244571.82,19264500.0,19264500.0
2007,,244571.82,18525200.0,18525200.0
2008,,244571.82,18738500.0,18738500.0
2009,,244571.82,18730700.0,18730700.0
2010,,244571.82,19267450.0,19267450.0
2011,,244571.82,18919700.0,18919700.0
2012,,244571.82,19352000.0,19352000.0
2013,,244571.82,18504842.0,18504842.0
2014,,244571.82,18811000.0,18811000.0
2015,,244571.82,18511600.0,18511600.0
2016,start of forecast,244571.82,18843000.0,18843000.0
2017,,244571.82,18802000.0,18802000.0
2018,,244571.82,18758000.0,18758000.0
2019,,244571.82,18753000.0,18753000.0
2020,,244571.82,18734000.0,18734000.0
2021,,244571.82,18719000.0,18719000.0
2022,,244571.82,18703000.0,18703000.0
2023,,244571.82,18685000.0,18685000.0
2024,,244571.82,18658000.0,18658000.0
2025,,244571.82,18634000.0,18634000.0
2026,,244571.82,18605000.0,18605000.0
2027,,244571.82,18571000.0,18571000.0
2028,,244571.82,18533000.0,18533000.0
2029,,244571.82,18509000.0,18509000.0
2030,,244571.82,18479000.0,18479000.0
2031,,244571.82,18495000.0,18495000.0
2032,,244571.82,18450000.0,18450000.0
2033,,244571.82,18413000.0,18413000.0
2034,,244571.82,18380000.0,18380000.0
2035,,244571.82,18353000.0,18353000.0
2036,,244571.82,18332000.0,18332000.0
2037,,244571.82,18308000.0,18308000.0
2038,,244571.82,18277000.0,18277000.0
2039,,244571.82,18228000.0,18228000.0
2040,,244571.82,18227000.0,18227000.0
