year,Base case cost,Nushagak community wind power project,Modeled wind power
2019,3105581.41147,3441630.99311,3441630.99311
2020,3278281.43975,3528547.19513,3528547.19513
2021,3413711.06637,3591458.68924,3591458.68924
2022,3498570.97513,3621263.88064,3621263.88064
2023,3570369.5823,3642819.45894,3642819.45894
2024,3615248.40502,3646465.3448,3646465.3448
2025,3673065.16404,3659408.19861,3659408.19861
2026,3742192.64418,3680007.41112,3680007.41112
2027,3810060.99365,3699892.49866,3699892.49866
2028,3851967.65119,3702773.02294,3702773.02294
2029,3921437.06777,3725311.16773,3725311.16773
2030,3964639.061,3730514.36199,3730514.36199
2031,4042473.18159,3762420.46665,3762420.46665
2032,4119227.85576,3789518.73906,3789518.73906
2033,4185038.55241,3810358.19923,3810358.19923
2034,4263799.92418,3840397.52417,3840397.52417
2035,4306756.52773,3847720.2439,3847720.2439
2036,4387865.19259,3880997.9321,3880997.9321
2037,4443494.89931,3897651.49258,3897651.49258
2038,4521749.40058,3928924.80815,3928924.80815
