year,Base case diesel consumed,Dillingham (elva lake),"Dillingham (aleknagik, grant lake)",Nushagak area hydropower project (nahp) -- grant lake
2021,1255040.83322,527122.368397,589780.097728,470897.368207
2022,1253968.09145,526049.62662,588707.355951,469824.62643
2023,1252761.25695,524842.79212,587500.521451,468617.79193
2024,1250951.0052,523032.540371,585690.269702,466807.540181
2025,1249341.89253,521423.427705,584081.157036,465198.427515
2026,1247397.54806,519479.083233,582136.812564,463254.083043
2027,1245117.97178,517199.506956,579857.236287,460974.506766
2028,1242570.21006,514651.745235,577309.474566,458426.745045
2029,1240961.09739,513042.632569,575700.3619,456817.632378
2030,1238949.70656,511031.241736,573688.971067,454806.241546
2031,1240022.44834,512103.983514,574761.712845,455878.983323
2032,1237005.36209,509086.897265,571744.626596,452861.897074
2033,1234524.64673,506606.181904,569263.911235,450381.181714
2034,1232312.11681,504393.651988,567051.381319,448168.651798
2035,1230501.86506,502583.400239,565241.12957,446358.400049
2036,1229093.89148,501175.426656,563833.155987,444950.426466
2037,1227484.77882,499566.31399,562224.043321,443341.3138
2038,1225406.34162,497487.876796,560145.606127,441262.876606
2039,1222121.06993,494202.605103,556860.334434,437977.604912
2040,1222054.02357,494135.558742,556793.288073,437910.558551
2041,1222389.25537,494470.790547,557128.519878,438245.790357
2042,1221383.55996,493465.095131,556122.824462,437240.09494
2043,1222456.30173,494537.836908,557195.566239,438312.836718
2044,1224400.64621,496482.18138,559139.910711,440257.181189
2045,1226613.17612,498694.711296,561352.440627,442469.711105
2046,1231105.28231,503186.817489,565844.54682,446961.817298
2047,1233451.90495,505533.440127,568191.169458,449308.439936
2048,1236468.9912,508550.526376,571208.255707,452325.526185
2049,1241497.46828,513579.003458,576236.732788,457354.003267
2050,1245721.38903,517802.924206,580460.653537,461577.924016
2051,1245721.38903,517802.924206,580460.653537,461577.924016
2052,1245721.38903,517802.924206,580460.653537,461577.924016
2053,1245721.38903,517802.924206,580460.653537,461577.924016
2054,1245721.38903,517802.924206,580460.653537,461577.924016
2055,1245721.38903,517802.924206,580460.653537,461577.924016
2056,1245721.38903,517802.924206,580460.653537,461577.924016
2057,1245721.38903,517802.924206,580460.653537,461577.924016
2058,1245721.38903,517802.924206,580460.653537,461577.924016
2059,1245721.38903,517802.924206,580460.653537,461577.924016
2060,1245721.38903,517802.924206,580460.653537,461577.924016
2061,1245721.38903,517802.924206,580460.653537,461577.924016
2062,1245721.38903,517802.924206,580460.653537,461577.924016
2063,1245721.38903,517802.924206,580460.653537,461577.924016
2064,1245721.38903,517802.924206,580460.653537,461577.924016
2065,1245721.38903,517802.924206,580460.653537,461577.924016
2066,1245721.38903,517802.924206,580460.653537,461577.924016
2067,1245721.38903,517802.924206,580460.653537,461577.924016
2068,1245721.38903,517802.924206,580460.653537,461577.924016
2069,1245721.38903,517802.924206,580460.653537,461577.924016
2070,1245721.38903,517802.924206,580460.653537,461577.924016
