year,Base case cost,Modeled transmission and interties
2021,3413711.06637,
2022,3498570.97513,
2023,3570369.5823,
2024,3615248.40502,
2025,3673065.16404,
2026,3742192.64418,
2027,3810060.99365,
2028,3851967.65119,
2029,3921437.06777,
2030,3964639.061,
2031,4042473.18159,
2032,4119227.85576,
2033,4185038.55241,
2034,4263799.92418,
2035,4306756.52773,
2036,4387865.19259,
2037,4443494.89931,
2038,4521749.40058,
2039,4570732.80153,
2040,4668246.37003,
