year,Base case cost,Dillingham (elva lake),"Dillingham (aleknagik, grant lake)",Nushagak area hydropower project (nahp) -- grant lake
2021,3413711.06637,12398604.6857,11898737.299,4416756.66399
2022,3498570.97513,12221057.2328,11738356.0839,4390889.9238
2023,3570369.5823,12042113.976,11575701.9833,4360498.37112
2024,3615248.40502,11854395.4298,11402834.835,4318797.41798
2025,3673065.16404,11677850.0079,11241413.8967,4284289.90764
2026,3742192.64418,11510737.2215,11089705.5901,4255316.68174
2027,3810060.99365,11346974.3743,10941066.0442,4226384.08395
2028,3851967.65119,11174946.4242,10782750.9618,4186973.86858
2029,3921437.06777,11021681.2397,10644066.3378,4162151.1799
2030,3964639.061,10859636.7059,10495204.6514,4126486.34094
2031,4042473.18159,10723220.6804,10372851.5885,4112420.97454
2032,4119227.85576,10583221.1128,10247233.1696,4091323.19006
2033,4185038.55241,10442873.0691,10120454.4686,4067516.178
2034,4263799.92418,10312781.9633,10004262.4608,4050653.39044
2035,4306756.52773,10170491.9377,9873935.17978,4020383.1376
2036,4387865.19259,10050283.8348,9767166.45547,4007992.71503
2037,4443494.89931,9921428.23202,9650392.57535,3985363.44162
2038,4521749.40058,9805552.57724,9547517.8767,3972145.48162
2039,4570732.80153,9677068.84565,9430687.72069,3944849.02993
2040,4668246.37003,9580708.17471,9347477.81621,3945715.48961
2041,4669526.95552,9444203.54287,9219378.83363,3908140.61213
2042,4665685.19903,9305805.90998,9089189.84261,3866354.06755
2043,4669783.07262,9178501.56108,8969901.7455,3833396.48418
2044,4677210.46851,9057606.47357,8856835.0289,3804636.91024
2045,4685662.33278,8940743.41314,8747616.86192,3777749.93693
2046,4702822.17844,8835525.40249,8649864.56753,3760399.19896
2047,4711786.27692,8724979.87595,8546609.77952,3735661.5557
2048,4723311.54639,8619796.52725,8448546.29265,3714274.96801
2049,4742520.32884,8525032.04869,8360734.80423,3701343.26464
2050,4758655.7061,8429865.41401,8272358.19894,3686091.44894
2051,4758655.7061,8321172.04313,8170295.71613,3655439.89336
2052,4758655.7061,8215026.17307,8070625.32269,3625506.73359
2053,4758655.7061,8111368.09722,7973290.95447,3596275.13236
2054,4758655.7061,8010139.50667,7878237.85969,3567728.64654
2055,4758655.7061,7911283.46153,7785412.57213,3539851.21908
2056,4758655.7061,7814744.35504,7694762.87732,3512627.16885
2057,4758655.7061,7720467.88398,7606237.78486,3486041.18233
2058,4758655.7061,7628401.01734,7519787.4989,3460078.30476
2059,4758655.7061,7538491.96861,7435363.3922,3434723.93235
2060,4758655.7061,7450690.16263,7352917.97496,3409963.80287
2061,4758655.7061,7364946.21153,7272404.87222,3385783.98894
2062,4758655.7061,7281211.88432,7193778.79537,3362170.88941
2063,4758655.7061,7199440.08015,7116995.51696,3339111.22183
2064,4758655.7061,7119584.80339,7042011.84734,3316592.01542
2065,4758655.7061,7041601.13408,6968785.60692,3294600.60274
2066,4758655.7061,6965445.20677,6897275.60626,3273124.61372
2067,4758655.7061,6891074.18462,6827441.62183,3252151.96837
2068,4758655.7061,6818446.2327,6759244.37084,3231670.86923
2069,4758655.7061,6747520.4986,6692645.49311,3211669.7959
2070,4758655.7061,6678257.08659,6627607.52675,3192137.49779
