year,Base case diesel consumed,Nushagak community wind power project,Modeled wind power
2019,1257320.4095,765435.439177,765435.439177
2020,1256046.52864,764161.558316,764161.558316
2021,1255040.83322,763155.8629,763155.8629
2022,1253968.09145,762083.121122,762083.121122
2023,1252761.25695,760876.286623,760876.286623
2024,1250951.0052,759066.034873,759066.034873
2025,1249341.89253,757456.922207,757456.922207
2026,1247397.54806,755512.577736,755512.577736
2027,1245117.97178,753233.001459,753233.001459
2028,1242570.21006,750685.239737,750685.239737
2029,1240961.09739,749076.127071,749076.127071
2030,1238949.70656,747064.736238,747064.736238
2031,1240022.44834,748137.478016,748137.478016
2032,1237005.36209,745120.391767,745120.391767
2033,1234524.64673,742639.676406,742639.676406
2034,1232312.11681,740427.146491,740427.146491
2035,1230501.86506,738616.894741,738616.894741
2036,1229093.89148,737208.921158,737208.921158
2037,1227484.77882,735599.808492,735599.808492
2038,1225406.34162,733521.371298,733521.371298
