year,Base case cost,Modeled solar power (pv)
2016,2046634.42284,2245885.56828
2017,2432968.9647,2621836.11425
2018,2703959.62881,2884317.29844
2019,3105581.41147,3275762.68834
2020,3278281.43975,3441773.32184
2021,3413711.06637,3571200.76495
2022,3498570.97513,3650909.40979
2023,3570369.5823,3717852.85047
2024,3615248.40502,3758342.5795
2025,3673065.16404,3811699.07178
2026,3742192.64418,3876296.95529
2027,3810060.99365,3939740.8348
2028,3851967.65119,3977668.31361
2029,3921437.06777,4042913.84599
2030,3964639.061,4082327.3129
2031,4042473.18159,4156129.32893
2032,4119227.85576,4228780.11591
2033,4185038.55241,4290746.055
2034,4263799.92418,4365589.41181
2035,4306756.52773,4405204.20709
