year,Base case cost,Modeled non-residential energy efficiency
2017,267618.43421,295210.732703
2018,284312.975537,309904.925
2019,307078.259165,330349.740926
2020,317196.162999,338889.551205
2021,324278.695684,344589.898808
2022,329843.542793,348881.723161
2023,333384.809135,351287.322413
2024,336420.180285,353237.661526
2025,339961.446627,355686.554243
2026,344008.608161,358633.499231
2027,347549.874503,361123.679807
2028,350585.245654,363156.617879
2029,354632.407187,366163.337178
2030,357161.883146,367757.564022
2031,361209.04468,370801.834417
