year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,19794.06,0.0,39538.89,12717.43
2018,19698.44,0.0,39538.89,12717.43
2019,19698.44,0.0,39538.89,12717.43
2020,19698.44,0.0,39538.89,12717.43
2021,19698.44,0.0,39538.89,12717.43
2022,19698.44,0.0,39538.89,12717.43
2023,19698.44,0.0,39538.89,12717.43
2024,19698.44,0.0,39538.89,12717.43
2025,19698.44,0.0,39538.89,11643.34
2026,19698.44,0.0,39538.89,11643.34
2027,19698.44,0.0,39538.89,11643.34
2028,19698.44,0.0,39538.89,11643.34
2029,19698.44,0.0,39538.89,12717.43
2030,19698.44,0.0,39538.89,12717.43
2031,19698.44,0.0,39538.89,12717.43
2032,19698.44,0.0,39538.89,12717.43
2033,19698.44,0.0,39538.89,11643.34
2034,19698.44,0.0,39538.89,11643.34
2035,19698.44,0.0,39538.89,11643.34
2036,19698.44,0.0,39538.89,11643.34
2037,19698.44,0.0,39538.89,11643.34
2038,19698.44,0.0,39538.89,11643.34
2039,19698.44,0.0,39538.89,11643.34
2040,19698.44,0.0,39538.89,11643.34
