year,Base case cost,Modeled biomass for heat (cordwood)
2017,265745.438207,301356.205025
2018,282989.918207,314501.122549
2019,306505.118207,332696.764001
2020,316956.318207,340420.228708
2021,324272.158207,345642.163388
2022,330020.318207,349620.784013
2023,333678.238207,351936.205258
2024,336813.598207,353846.660069
2025,333473.921557,349193.265471
2026,337568.481557,351884.961486
2027,341151.221557,354181.43105
2028,344222.141557,356082.356337
2029,355625.758207,366122.846014
2030,358238.558207,367694.246321
2031,362419.038207,370536.562719
2032,367122.078207,373810.451197
2033,363671.301557,369045.317872
2034,368277.681557,372245.795303
2035,371348.601557,374231.127736
2036,375954.981557,377453.777092
