year,Base case cost,Modeled transmission and interties
2021,97113.2970801,1649987.11159
2022,99280.1252096,1629094.79048
2023,100659.015838,1608190.45383
2024,101840.92209,1587578.0145
2025,103219.812718,1567683.35827
2026,104795.687721,1548527.05347
2027,106174.578349,1529643.22406
2028,107356.484602,1510988.09274
2029,108932.359605,1493167.11073
2030,109917.281482,1475260.92474
2031,111493.156485,1458443.34171
2032,113266.015864,1442095.65431
2033,114841.890867,1426126.67962
2034,116614.750246,1410656.38362
2035,117796.656499,1395001.87007
2036,119569.515877,1380378.68634
2037,120554.437755,1365471.64146
2038,122327.297133,1351569.72513
2039,123706.187761,1337650.20401
2040,125479.04714,1324621.21576
