year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,52256.0,41952.747104
2018,52256.0,41952.747104
2019,52256.0,41952.747104
2020,52256.0,41952.747104
2021,52256.0,41952.747104
2022,52256.0,41952.747104
2023,52256.0,41952.747104
2024,52256.0,41952.747104
2025,51182.0,40878.747104
2026,51182.0,40878.747104
2027,51182.0,40878.747104
2028,51182.0,40878.747104
2029,52256.0,41952.747104
2030,52256.0,41952.747104
2031,52256.0,41952.747104
2032,52256.0,41952.747104
2033,51182.0,40878.747104
2034,51182.0,40878.747104
2035,51182.0,40878.747104
2036,51182.0,40878.747104
