year,Base case diesel consumed,Pedro bay (knutson creek),Knutson creek,Knutson creek hydroelectric project design and permitting,Pedro bay (canyon creek)
2021,19698.4375416,0.0,0.0,0.0,0.0
2022,19698.4375416,0.0,0.0,0.0,0.0
2023,19698.4375416,0.0,0.0,0.0,0.0
2024,19698.4375416,0.0,0.0,0.0,0.0
2025,19698.4375416,0.0,0.0,0.0,0.0
2026,19698.4375416,0.0,0.0,0.0,0.0
2027,19698.4375416,0.0,0.0,0.0,0.0
2028,19698.4375416,0.0,0.0,0.0,0.0
2029,19698.4375416,0.0,0.0,0.0,0.0
2030,19698.4375416,0.0,0.0,0.0,0.0
2031,19698.4375416,0.0,0.0,0.0,0.0
2032,19698.4375416,0.0,0.0,0.0,0.0
2033,19698.4375416,0.0,0.0,0.0,0.0
2034,19698.4375416,0.0,0.0,0.0,0.0
2035,19698.4375416,0.0,0.0,0.0,0.0
2036,19698.4375416,0.0,0.0,0.0,0.0
2037,19698.4375416,0.0,0.0,0.0,0.0
2038,19698.4375416,0.0,0.0,0.0,0.0
2039,19698.4375416,0.0,0.0,0.0,0.0
2040,19698.4375416,0.0,0.0,0.0,0.0
2041,19602.8140584,-95.6234832116,-95.6234832116,-95.6234832116,-95.6234832116
2042,19602.8140584,-95.6234832116,-95.6234832116,-95.6234832116,-95.6234832116
2043,19698.4375416,0.0,0.0,0.0,0.0
2044,19698.4375416,0.0,0.0,0.0,0.0
2045,19698.4375416,0.0,0.0,0.0,0.0
2046,19698.4375416,0.0,0.0,0.0,0.0
2047,19698.4375416,0.0,0.0,0.0,0.0
2048,19698.4375416,0.0,0.0,0.0,0.0
2049,19698.4375416,0.0,0.0,0.0,0.0
2050,19698.4375416,0.0,0.0,0.0,0.0
2051,19698.4375416,0.0,0.0,0.0,0.0
2052,19698.4375416,0.0,0.0,0.0,0.0
2053,19698.4375416,0.0,0.0,0.0,0.0
2054,19698.4375416,0.0,0.0,0.0,0.0
2055,19698.4375416,0.0,0.0,0.0,0.0
2056,19698.4375416,0.0,0.0,0.0,0.0
2057,19698.4375416,0.0,0.0,0.0,0.0
2058,19698.4375416,0.0,0.0,0.0,0.0
2059,19698.4375416,0.0,0.0,0.0,0.0
2060,19698.4375416,0.0,0.0,0.0,0.0
2061,19698.4375416,0.0,0.0,0.0,0.0
2062,19698.4375416,0.0,0.0,0.0,0.0
2063,19698.4375416,0.0,0.0,0.0,0.0
2064,19698.4375416,0.0,0.0,0.0,0.0
2065,19698.4375416,0.0,0.0,0.0,0.0
2066,19698.4375416,0.0,0.0,0.0,0.0
2067,19698.4375416,0.0,0.0,0.0,0.0
2068,19698.4375416,0.0,0.0,0.0,0.0
2069,19698.4375416,0.0,0.0,0.0,0.0
2070,19698.4375416,0.0,0.0,0.0,0.0
