year,Base case cost,Pedro bay (knutson creek),Knutson creek,Knutson creek hydroelectric project design and permitting,Pedro bay (canyon creek)
2021,97113.2970801,717133.834447,737199.263961,,977399.127014
2022,99280.1252096,702829.507105,721779.961581,,958055.488432
2023,100659.015838,688915.599886,706895.332306,,939220.378822
2024,101840.92209,675340.122107,692398.269824,,920839.039311
2025,103219.812718,662066.006057,678188.165311,,902871.69894
2026,104795.687721,649085.84303,664257.207854,,885308.309049
2027,106174.578349,636421.879301,650690.380194,,868168.537802
2028,107356.484602,624067.04962,637480.233516,,851442.802373
2029,108932.359605,611970.231852,624480.577206,,835077.521929
2030,109917.281482,600198.391574,611915.834187,,819137.261103
2031,111493.156485,588656.504205,599501.234867,,803524.650521
2032,113266.015864,577367.625224,587322.615125,,788260.455897
2033,114841.890867,566354.960723,575465.969628,,773365.647228
2034,116614.750246,555582.900978,563832.226697,,758802.431076
2035,117796.656499,545104.42407,552600.29802,,744621.65297
2036,119569.515877,534825.241438,541486.189985,,730726.941821
2037,120554.437755,524842.830634,530808.022693,,717213.741465
2038,122327.297133,515033.69231,520189.477179,,703956.566456
2039,123706.187761,505480.82774,509902.646994,,691036.478574
2040,125479.04714,496119.95862,499756.70675,,678387.305433
2041,124869.925552,486498.92026,489646.420862,,665555.032686
2042,124869.925552,477698.220288,480367.9401,,653618.361633
2043,125479.04714,469712.908228,471916.045234,,642570.577786
2044,125479.04714,461319.906677,463067.396414,,631186.88115
2045,125479.04714,453123.616111,454426.137813,,620069.98992
2046,125479.04714,445119.426101,445987.408706,,609213.650822
2047,125479.04714,437302.834323,437746.462342,,598611.75721
2048,125479.04714,429669.443849,429698.663091,,588258.345392
2049,125479.04714,422214.96099,421839.48416,,578147.591698
2050,125479.04714,414935.19258,414164.504743,,568273.808802
2051,125479.04714,407826.043751,406669.407666,,558631.442705
2052,125479.04714,400883.515569,399349.976896,,549215.069525
2053,125479.04714,394103.702947,392202.095344,,540019.392667
2054,125479.04714,387482.792139,385221.742218,,531039.239424
2055,125479.04714,381017.058931,378404.991123,,522269.558529
2056,125479.04714,374702.866349,371748.007635,,513705.417034
2057,125479.04714,368536.662637,365247.047178,,505341.997579
2058,125479.04714,362514.97938,358898.45304,,497174.595844
2059,125479.04714,356634.429279,352698.654031,,489198.617526
2060,125479.04714,350891.704553,346644.16279,,481409.576174
2061,125479.04714,345283.574983,340731.573737,,473803.090542
2062,125479.04714,339806.885906,334957.560942,,466374.881856
2063,125479.04714,334458.556743,329318.876588,,459120.77183
2064,125479.04714,329235.57906,323812.348913,,452036.680028
2065,125479.04714,324135.014962,318434.880529,,445118.62169
2066,125479.04714,319153.995217,313183.446437,,438362.705185
2067,125479.04714,314289.718214,308055.092927,,431765.130597
2068,125479.04714,309539.447664,303046.935162,,425322.18661
2069,125479.04714,304900.511629,298156.156145,,419030.249189
2070,125479.04714,300370.30064,293380.004744,,412885.779028
