year,Base case cost,Modeled residential energy efficiency
2017,134815.957452,133772.895429
2018,142420.730254,140890.070297
2019,152790.874984,150643.03781
2020,157399.828197,154913.613795
2021,160626.095446,157870.494601
2022,163161.019713,160171.841287
2023,164774.153338,161598.182218
2024,166156.839302,162807.681446
2025,155824.684194,152293.807185
2026,157536.438658,153815.251326
2027,159034.223814,155136.155832
2028,160318.039662,156256.464675
2029,174452.955086,170208.074697
2030,175605.193389,171212.351313
2031,177448.774674,172877.027791
2032,179522.80362,174763.236071
2033,168448.873366,163514.597744
2034,170374.597138,165256.599222
2035,171658.412986,166391.787531
2036,173584.136758,168137.697521
