year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,22781.0,22337.957253
2018,22781.0,22337.957253
2019,23857.0,23413.957253
2020,23859.0,23415.957253
2021,23861.0,23417.957253
2022,23864.0,23420.957253
2023,23867.0,23423.957253
2024,23871.0,23427.957253
2025,23875.0,23431.957253
2026,23880.0,23436.957253
2027,23885.0,23441.957253
2028,23890.0,23446.957253
2029,24973.0,24529.957253
2030,24983.0,24539.957253
2031,24992.0,24548.957253
2032,24996.0,24552.957253
2033,25000.0,24556.957253
2034,25004.0,24560.957253
2035,25010.0,24566.957253
2036,25017.0,24573.957253
