year,annotation,Average Load
2003,,325.0
2004,,305.0
2005,,284.0
2006,,294.0
2007,,277.0
2008,,302.0
2009,,286.0
2010,,265.0
2011,,271.0
2012,,271.0
2013,,262.0
2014,start of forecast,271.0
2015,,271.0
2016,,271.0
2017,,271.0
2018,,271.0
2019,,271.0
2020,,271.0
2021,,271.0
2022,,271.0
2023,,272.0
2024,,272.0
2025,,272.0
2026,,272.0
2027,,272.0
2028,,272.0
2029,,273.0
2030,,273.0
2031,,273.0
2032,,273.0
2033,,273.0
2034,,274.0
2035,,274.0
2036,,274.0
2037,,274.0
2038,,274.0
2039,,275.0
2040,,275.0
