year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,22781.0,22293.6529782
2018,22781.0,22293.6529782
2019,23857.0,23369.6529782
2020,23859.0,23371.6529782
2021,23861.0,23373.6529782
2022,23864.0,23376.6529782
2023,23867.0,23379.6529782
2024,23871.0,23383.6529782
2025,23875.0,23387.6529782
2026,23880.0,23392.6529782
2027,23885.0,23397.6529782
2028,23890.0,23402.6529782
2029,24973.0,24485.6529782
2030,24983.0,24495.6529782
2031,24992.0,24504.6529782
2032,24996.0,24508.6529782
2033,25000.0,24512.6529782
2034,25004.0,24516.6529782
2035,25010.0,24522.6529782
2036,25017.0,24529.6529782
