year,Base case cost,Modeled biomass for heat (cordwood)
2017,98426.4106369,97849.6583455
2018,105771.894051,105052.287489
2019,121410.297916,120493.051065
2020,126419.227549,125409.157839
2021,129921.678402,128846.773168
2022,132545.591754,131422.275996
2023,134366.832423,133210.018311
2024,135856.54486,134672.499828
2025,137672.846566,136455.519298
2026,139874.176136,138616.542784
2027,141703.576439,140412.552792
2028,143236.562107,141917.659185
2029,151843.441517,150487.04205
2030,153202.141878,151822.7258
2031,155585.855105,154165.16041
2032,157933.555835,156471.690583
2033,160318.585345,158814.90118
2034,162838.537782,161290.657401
2035,164414.81278,162839.701478
2036,166950.327105,165331.127648
