year,Base case diesel consumed,Modeled residential energy efficiency
2017,19761.8906979,16152.2334797
2018,19761.8906979,16152.2334797
2019,20834.6182428,17224.9610247
2020,20834.6182428,17224.9610247
2021,20834.6182428,17224.9610247
2022,20834.6182428,17224.9610247
2023,20834.6182428,17224.9610247
2024,20834.6182428,17224.9610247
2025,20834.6182428,17224.9610247
2026,20834.6182428,17224.9610247
2027,20834.6182428,17224.9610247
2028,20834.6182428,17224.9610247
2029,21907.3457878,18297.6885696
2030,21907.3457878,18297.6885696
2031,21907.3457878,18297.6885696
2032,21907.3457878,18297.6885696
2033,21907.3457878,18297.6885696
2034,21907.3457878,18297.6885696
2035,21907.3457878,18297.6885696
2036,21907.3457878,18297.6885696
