year,Base case cost,Modeled biomass for heat (pellet)
2017,98426.4106369,98511.4468696
2018,105771.894051,105686.065143
2019,121410.297916,121093.660937
2020,126419.227549,125987.395823
2021,129921.678402,129405.744784
2022,132545.591754,131963.923341
2023,134366.832423,133736.125179
2024,135856.54486,135183.978679
2025,137672.846566,136952.044023
2026,139874.176136,139097.683481
2027,141703.576439,140879.267134
2028,143236.562107,142370.758134
2029,151843.441517,150925.817648
2030,153202.141878,152248.873861
2031,155585.855105,154577.096747
2032,157933.555835,156869.66234
2033,160318.585345,159199.074325
2034,162838.537782,161661.019596
2035,164414.81278,163198.169361
2036,166950.327105,165676.230445
