year,Base case cost,Modeled wind power
2019,255115.446133,441034.996977
2020,274341.535516,453595.543135
2021,288025.579476,461513.691159
2022,299979.115371,468031.407559
2023,307841.458927,471012.425646
2024,316620.491696,475008.589505
2025,327196.326763,480897.704665
2026,338614.936783,487496.653045
2027,349302.024239,493569.192304
2028,358887.255834,498856.258657
2029,370519.988604,505938.017347
2030,379136.714804,510542.841424
2031,391390.479751,518414.425696
2032,404143.356448,526866.56311
2033,418077.337284,536465.918603
2034,433536.847467,547781.890632
2035,445232.064456,555636.254878
2036,458801.808016,565212.378939
2037,470829.25817,573545.381315
2038,485121.380261,583986.857516
