year,Base case diesel consumed,Modeled wind power
2019,82829.6903028,69480.2754531
2020,83896.4940417,70547.079192
2021,84963.2977807,71613.882931
2022,85953.9012526,72604.4864029
2023,86715.9039232,73366.4890735
2024,87706.5073951,74357.0925454
2025,89154.3124694,75804.8976197
2026,90297.3164754,76947.9016257
2027,91440.3204814,78090.9056318
2028,92735.7250216,79386.3101719
2029,93802.5287605,80453.1139109
2030,95021.7330336,81672.3181839
2031,96164.7370396,82815.32219
2032,97383.9413127,84034.5264631
2033,98603.1455858,85253.7307361
2034,100355.751728,87006.3368787
2035,101651.156269,88301.7414189
2036,102870.360542,89520.9456919
2037,104165.765082,90816.3502321
2038,105461.169622,92111.7547722
