year,Base case cost,Modeled water and wastewater efficiency
2017,54581.2291288,49604.0144228
2018,57023.5486787,51699.4231137
2019,60432.4323389,54641.5153694
2020,62135.2340691,56091.438091
2021,63256.75381,57033.4720822
2022,64210.9715582,57829.973855
2023,64803.1354082,58310.6396527
2024,65421.0204399,58814.519569
2025,66090.1645945,59363.7809314
2026,66898.2768524,60035.6783342
2027,67627.1052715,60638.9575543
2028,68201.1593671,61107.4755865
2029,69006.0170417,61778.8989685
2030,69489.1623847,62169.413114
2031,70318.046921,62863.1891093
