year,annotation,diesel generation efficiency
2002,,0.0
2003,,11.46
2004,,12.54
2005,,13.58
2006,,10.94
2007,,12.35
2008,,11.93
2009,,12.45
2010,,12.12
2011,,12.18
2012,,13.4
2013,,13.35
2014,,13.08
2015,,12.93
2016,start of forecast,13.12
2017,,13.12
2018,,13.12
2019,,13.12
2020,,13.12
2021,,13.12
2022,,13.12
2023,,13.12
2024,,13.12
2025,,13.12
2026,,13.12
2027,,13.12
2028,,13.12
2029,,13.12
2030,,13.12
2031,,13.12
2032,,13.12
2033,,13.12
2034,,13.12
2035,,13.12
2036,,13.12
2037,,13.12
2038,,13.12
2039,,13.12
2040,,13.12
