year,Base case cost,Modeled solar power (pv)
2016,160081.521056,169759.086002
2017,193559.34639,202461.305508
2018,219122.249983,227412.36889
2019,255115.446133,262657.729821
2020,274341.535516,281416.985797
2021,288025.579476,294736.471363
2022,299979.115371,306359.660436
2023,307841.458927,313951.128885
2024,316620.491696,322465.666403
2025,327196.326763,332783.245949
2026,338614.936783,343924.271086
2027,349302.024239,354352.763701
2028,358887.255834,363710.465332
2029,370519.988604,375083.935443
2030,379136.714804,383496.635257
2031,391390.479751,395502.576965
2032,404143.356448,408013.36239
2033,418077.337284,421698.841445
2034,433536.847467,436927.458126
2035,445232.064456,448420.814231
