year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,3477.79,572750.27,493427.04,51103.44,353118.13,301761.47
2018,3718.32,607536.56,531621.45,53305.23,367798.87,320721.51
2019,4056.49,655988.89,575357.48,56375.94,388247.05,341937.9
2020,4233.53,679593.87,600372.66,57901.7,398208.98,354183.99
2021,4358.61,694502.28,618875.53,58898.14,404500.73,363307.39
2022,4468.62,706925.96,635638.21,59742.36,409743.86,371589.54
2023,4540.31,714380.16,648574.55,60262.83,412889.73,378042.89
2024,4619.44,721834.36,661640.62,60801.58,416035.6,384551.1
2025,4713.33,729288.57,681903.55,61376.83,419181.48,394769.45
2026,4814.72,739227.51,697401.66,62083.56,423375.98,402411.52
2027,4909.82,747924.08,712008.06,62717.28,427046.16,409623.82
2028,4993.22,754135.92,731898.15,63207.94,429667.72,419631.85
2029,5094.19,764074.86,747958.4,63911.83,433862.22,427511.67
2030,5168.02,769044.33,759759.91,64321.14,435959.47,433379.8
2031,5276.24,778983.27,776122.84,65041.81,440153.97,441387.63
2032,,,800244.75,,,453343.34
2033,,,818191.25,,,462073.55
2034,,,842940.15,,,474294.45
2035,,,857811.51,,,481566.18
2036,,,883122.53,,,494024.82
