year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,754.376571338,637.665709387
2018,760.369683853,642.731617434
2019,768.252099367,649.394531251
2020,773.933619672,654.19705404
2021,779.694272388,659.066466534
2022,785.324416676,663.825561775
2023,789.598234104,667.438169756
2024,795.062907583,672.057394454
2025,802.931711788,678.708802791
2026,809.1756994,683.98677263
2027,815.564473971,689.387129194
2028,822.586307832,695.322603386
2029,828.302923962,700.154792266
2030,834.877986638,705.712615991
2031,841.484408701,711.296947439
