year,Base case cost,Modeled non-residential energy efficiency
2017,925868.40148,987655.078867
2018,975335.433657,1029778.65127
2019,1044235.94276,1089938.37858
2020,1077802.85745,1117539.16452
2021,1099003.0141,1133795.56743
2022,1116669.8113,1146865.89804
2023,1127269.88963,1153484.25513
2024,1137869.96795,1160176.99961
2025,1148470.04628,1166942.38803
2026,1162603.48404,1177042.7909
2027,1174970.24208,1185580.4359
2028,1183803.64069,1190921.66272
2029,1197937.07845,1201225.06849
2030,1205003.79733,1205064.84882
2031,1219137.2351,1215495.78394
