year,Base case diesel consumed,Modeled solar power (pv)
2016,79248.2777506,77870.3211814
2017,80315.0814895,78948.1485729
2018,81458.0854956,80102.0880422
2019,82829.6903028,81484.5408291
2020,83896.4940417,82562.1057638
2021,84963.2977807,83639.584609
2022,85953.9012526,84640.7777862
2023,86715.9039232,85413.2854447
2024,87706.5073951,86414.3098644
2025,89154.3124694,87872.4525189
2026,90297.3164754,89025.7114045
2027,91440.3204814,90178.8882511
2028,92735.7250216,91484.3842491
2029,93802.5287605,92561.1987142
2030,95021.7330336,93790.3336277
2031,96164.7370396,94943.188829
2032,97383.9413127,96172.1654877
2033,98603.1455858,97401.0639674
2034,100355.751728,99163.2867629
2035,101651.156269,100468.231023
