year,Base case diesel consumed,Akiachak wind feasibility & conceptual design,Akiachak wind_ancec,Modeled wind power
2019,151101.796525,125038.129563,2166.5567413,125038.129563
2020,153389.051723,127325.384761,4453.81193941,127325.384761
2021,157177.318145,131113.651183,8242.07836127,131113.651183
2022,159679.003518,133615.336556,10743.7637342,133615.336556
2023,161894.781991,135831.115029,12959.5422074,135831.115029
2024,164182.037189,138118.370227,15246.7974055,138118.370227
2025,166469.292387,140405.625425,17534.0526036,140405.625425
2026,168899.501035,142835.834073,19964.2612516,142835.834073
2027,171258.232958,145194.565996,22322.9931746,145194.565996
2028,174188.778681,148125.111719,25253.5388972,148125.111719
2029,176690.464054,150626.797091,27755.2242701,150626.797091
2030,179192.149427,153128.482464,30256.909643,153128.482464
2031,181693.834799,155630.167837,32758.595016,155630.167837
2032,184195.520172,158131.85321,35260.2803889,158131.85321
2033,186482.77537,160419.108408,37547.535587,160419.108408
2034,188984.460743,162920.793781,40049.2209599,162920.793781
2035,192057.959916,165994.292954,43122.7201324,165994.292954
2036,194702.598739,168638.931777,45767.3589552,168638.931777
2037,197418.714286,171355.047324,48483.4745029,171355.047324
2038,200063.353109,173999.686147,51128.1133257,173999.686147
