year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,151345.715541,111995.8295
2018,151345.715541,111995.8295
2019,151345.715541,111995.8295
2020,151345.715541,111995.8295
2021,151345.715541,111995.8295
2022,151345.715541,111995.8295
2023,151345.715541,111995.8295
2024,151345.715541,111995.8295
2025,151345.715541,111995.8295
2026,151345.715541,111995.8295
2027,151345.715541,111995.8295
2028,151345.715541,111995.8295
2029,151345.715541,111995.8295
2030,151345.715541,111995.8295
2031,151345.715541,111995.8295
