year,Base case cost,Modeled solar power (pv)
2016,304879.681631,323733.218905
2017,369809.853335,387694.510839
2018,419253.877813,436480.828862
2019,489569.82074,505832.701791
2020,526124.44741,541996.118571
2021,559551.252595,575182.652088
2022,584425.152875,599892.188505
2023,603867.536826,619244.345353
2024,622249.920946,637561.997342
2025,642571.468614,657797.194503
2026,665464.034078,680582.327218
2027,686745.514162,701781.601962
2028,708948.32923,723926.859209
2029,731498.521182,746398.517475
2030,750815.106097,765683.150646
2031,777649.612942,792398.185882
2032,803092.467952,817746.111095
2033,829848.350399,844387.416472
2034,857989.451775,872416.428007
2035,881546.036014,895949.242945
