year,Base case cost,Modeled non-residential energy efficiency
2017,1256660.82817,1308445.45401
2018,1326201.74173,1371317.19699
2019,1426916.16825,1462372.82476
2020,1472477.45644,1503564.65637
2021,1503650.96941,1531748.54115
2022,1527630.59478,1553428.45252
2023,1544416.33253,1568604.39048
2024,1558804.10775,1581612.33731
2025,1575589.8455,1596788.27527
2026,1594773.54579,1614132.20437
2027,1611559.28355,1629308.14233
2028,1625947.05876,1642316.08915
2029,1642732.79652,1657492.02711
2030,1654722.6092,1668331.9828
2031,1676304.27203,1687843.90303
