year,Base case diesel consumed,Modeled diesel efficiency
2019,483866.3683,439878.516637
2020,483866.3683,439878.516637
2021,483866.3683,439878.516637
2022,483866.3683,439878.516637
2023,483866.3683,439878.516637
2024,483866.3683,439878.516637
2025,483866.3683,439878.516637
2026,483866.3683,439878.516637
2027,483866.3683,439878.516637
2028,483866.3683,439878.516637
2029,483866.3683,439878.516637
2030,483866.3683,439878.516637
2031,483866.3683,439878.516637
2032,483866.3683,439878.516637
2033,483866.3683,439878.516637
2034,483866.3683,439878.516637
2035,483866.3683,439878.516637
2036,483866.3683,439878.516637
2037,483866.3683,439878.516637
2038,483866.3683,439878.516637
