year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,70246.0,52039.4872524
2018,70246.0,52039.4872524
2019,70246.0,52039.4872524
2020,70246.0,52039.4872524
2021,70246.0,52039.4872524
2022,70246.0,52039.4872524
2023,70246.0,52039.4872524
2024,70246.0,52039.4872524
2025,70246.0,52039.4872524
2026,70246.0,52039.4872524
2027,70246.0,52039.4872524
2028,70246.0,52039.4872524
2029,70246.0,52039.4872524
2030,70246.0,52039.4872524
2031,70246.0,52039.4872524
2032,,
2033,,
2034,,
2035,,
2036,,
