year,Base case cost,Modeled biomass for heat (cordwood)
2017,206703.098926,263483.717702
2018,226371.978926,278054.774133
2019,253767.918926,298350.174161
2020,266412.198926,307717.281867
2021,275544.178926,314482.415209
2022,282568.778926,319686.363935
2023,287485.998926,323329.128042
2024,291700.758926,326451.497277
2025,296617.978926,330094.261385
2026,302237.658926,334257.420365
2027,307154.878926,337900.184473
2028,311369.638926,341022.553708
2029,316286.858926,344665.317816
2030,319799.158926,347267.292178
2031,326121.298926,351950.846031
2032,,
2033,,
2034,,
2035,,
2036,,
