year,Base case cost,Modeled biomass for heat (pellet)
2017,206703.098926,238963.79834
2018,226371.978926,253025.072413
2019,253767.918926,272610.418445
2020,266412.198926,281649.808921
2021,275544.178926,288178.257598
2022,282568.778926,293200.141195
2023,287485.998926,296715.459714
2024,291700.758926,299728.589872
2025,296617.978926,303243.908391
2026,302237.658926,307261.415269
2027,307154.878926,310776.733788
2028,311369.638926,313789.863946
2029,316286.858926,317305.182465
2030,319799.158926,319816.124264
2031,326121.298926,324335.819502
2032,,
2033,,
2034,,
2035,,
2036,,
