year,Base case diesel consumed,Modeled non-residential ashp
2017,21130.8939899,18512.6830546
2018,21130.8939899,18512.6830546
2019,21130.8939899,18512.6830546
2020,21130.8939899,18512.6830546
2021,21130.8939899,18512.6830546
2022,21130.8939899,18512.6830546
2023,21130.8939899,18512.6830546
2024,21130.8939899,18512.6830546
2025,21130.8939899,18512.6830546
2026,21130.8939899,18512.6830546
2027,21130.8939899,18512.6830546
2028,21130.8939899,18512.6830546
2029,17334.2435516,14716.0326163
2030,17334.2435516,14716.0326163
2031,17334.2435516,14716.0326163
