year,Base case diesel consumed,Modeled residential ashp
2017,4406.34980336,-15334.6484727
2018,4202.93762983,-15538.0606462
2019,4202.93762983,-15538.0606462
2020,4202.93762983,-15538.0606462
2021,4202.93762983,-15538.0606462
2022,3999.52545629,-15741.4728198
2023,3999.52545629,-15741.4728198
2024,3796.11328276,-15944.8849933
2025,3796.11328276,-15944.8849933
2026,3796.11328276,-15944.8849933
2027,3592.70110922,-16148.2971669
2028,3592.70110922,-16148.2971669
2029,3389.28893569,-16351.7093404
2030,3389.28893569,-16351.7093404
2031,3389.28893569,-16351.7093404
